Table: Table_1

,# REG ,# VOTE ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,TOTAL ,NO VOTE ,% NO VT ,
SAN MIGUEL ,2369 ,1897 ,651 ,774 ,297 ,1 ,55 ,26 ,4 ,1 1809 ,68 ,4.6 ,
SEDGWICK ,1965 ,1749 ,438 ,1151 ,100 ,1 ,15 ,3 ,,1708 ,41 ,2.3 ,
SUMMIT ,5813 ,4462 ,1285 ,2027 ,845 ,1 ,167 ,28 ,2 ,4355 ,107 ,2.3 ,
TELLER ,4697 ,3874 ,802 ,2457 ,322 ,,107 ,15 ,4 ,3707 ,167 ,4.3 ,
WASHINGTON ,3394 ,2892 ,568 ,2007 ,160 ,3 ,70 ,3 ,,2811 ,81 ,2.8 ,
WELD ,51125 ,44382 ,11433 ,23901 ,4309 ,18 ,793 ,161 ,14 ,20 40646 ,3736 ,8.4 ,
YUMA ,5634 ,4818 ,1043 ,3220 ,319 ,2 ,87 ,1 ,1 ,1 4674 ,144 ,2.9 ,
TOTAL ,1434571 ,1225549 ,367973 ,652264 ,130633 ,1180 ,25744 ,5614 ,487 ,5201184415 ,41134 ,3.3 ,





